waste,hazard,nace_r2,unit,country,year,value
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2008,6242
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2010,7291
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2012,7233
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2014,7848
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2016,8281
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2018,8429
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2020,7175
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Netherlands,2022,6921
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2004,1623
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2006,2127
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2008,2157
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2010,1929
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2012,2136
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2014,2066
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2016,2127
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2018,2662
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2020,2610
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Norway,2022,2573
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2004,3601
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2006,4028
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2008,3645
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2010,4171
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2012,4266
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2014,4714
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2016,4793
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2018,4621
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2020,4492
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Poland,2022,4739
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2004,2796
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2006,3322
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2008,1599
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2010,1290
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2012,1271
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2014,1381
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2016,1427
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2018,1546
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2020,1612
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Portugal,2022,1878
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2004,17215
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2006,16248
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2008,9209
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2010,9949
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2012,12432
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2014,8871
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2016,9012
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2018,10425
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2020,7344
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Romania,2022,8410
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Serbia,2010,4610
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Serbia,2012,7640
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Serbia,2014,6890
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Serbia,2016,6937
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Serbia,2018,7319
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Serbia,2020,8499
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Serbia,2022,26325
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2004,10203
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2006,10459
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2008,9346
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2010,12545
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2012,16420
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2014,17226
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2016,14272
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2018,13628
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2020,14664
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Sweden,2022,15627
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2004,2890
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2006,3008
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2008,2493
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2010,2922
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2012,2210
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2014,2273
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2016,2661
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2018,3964
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2020,3576
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovenia,2022,5397
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2004,1986
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2006,2699
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2008,2133
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2010,1741
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2012,1558
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2014,1636
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2016,1953
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2018,2277
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2020,2338
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Slovakia,2022,2462
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2004,870
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2006,665
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2008,912
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2010,869
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2012,896
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2014,947
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2016,953
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2018,1195
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2020,1291
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Türkiye,2022,1284
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,2004,4981
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,2006,4785
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,2008,4566
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,2010,3853
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,2012,3791
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,2014,4071
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,2016,4147
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,United Kingdom,2018,4249
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Kosovo*,2012,649
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Kosovo*,2014,574
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Kosovo*,2016,1607
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Kosovo*,2018,1648
Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Kosovo*,2020,1448
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Albania,2022,241
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2004,6364
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2006,6449
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2008,6607
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2010,5420
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2012,5573
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2014,6388
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2016,6863
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2018,7279
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2020,7583
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Austria,2022,7916
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2012,915
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2014,1445
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2016,1740
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2018,1926
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2022,1793
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2004,4569
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2006,5244
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2008,3987
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2010,5193
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2012,4597
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2014,4907
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2016,5237
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2018,5625
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2020,5557
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2022,5174
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2004,24508
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2006,19646
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2008,20634
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2010,20802
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2012,20236
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2014,23183
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2016,15037
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2018,16558
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2020,14773
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2022,12431
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2004,2926
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2006,1640
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2008,2312
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2010,2816
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2012,2135
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2014,2118
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2016,2710
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2018,2388
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2020,2455
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2022,3231
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2004,2729
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2006,2289
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2008,2302
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2010,2138
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2012,2064
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2014,2112
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2016,2299
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2018,3401
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2020,3433
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2022,3526
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2004,4169
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2006,4153
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2008,4268
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2010,4202
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2012,4303
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2014,4516
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2016,4578
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2018,4600
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2020,4542
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Germany,2022,4332
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2004,2270
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2006,2636
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2008,2682
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2010,2703
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2012,2771
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2014,3383
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2016,3312
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2018,3340
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2020,3218
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2022,3110
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2004,9928
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2006,9143
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2008,9009
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2010,7539
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2012,9702
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2014,8667
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2016,11093
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2018,9308
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2020,10965
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2022,15622
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2004,3013
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2006,4632
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2008,6174
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2010,6307
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2012,6522
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2014,6384
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2016,6666
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2018,4157
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2020,2599
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Greece,2022,2787
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2004,3671
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2006,3534
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2008,3168
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2010,2888
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2012,2468
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2014,2314
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2016,2706
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2018,2876
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2020,2160
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Spain,2022,2406
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2004,5000
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2006,5001
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2008,4684
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2010,4812
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2012,4883
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2014,4861
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2016,4862
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2018,5007
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2020,4603
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2022,4725
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2004,4982
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2006,4958
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2008,4655
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2010,4682
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2012,4733
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2014,4749
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2016,4758
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),2018,4897
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2004,12921
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2006,13196
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2008,14987
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2010,18976
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2012,16655
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2014,17206
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2016,21924
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2018,22908
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2020,20401
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Finland,2022,14682
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2004,4603
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2006,4783
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2008,5206
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2010,5300
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2012,5091
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2014,4730
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2016,4671
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2018,4932
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2020,4411
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,France,2022,4908
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2004,1647
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2006,1079
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2008,917
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2010,718
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2012,818
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2014,849
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2016,1245
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2018,1312
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2020,1437
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Croatia,2022,1791
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2004,2305
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2006,2084
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2008,1622
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2010,1619
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2012,1574
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2014,1627
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2016,1577
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2018,1824
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2020,1700
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Hungary,2022,2777
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2004,5841
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2006,6760
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2008,5122
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2010,3911
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2012,2660
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2014,3153
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2016,3095
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2018,2744
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2020,3070
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Ireland,2022,2841
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2004,1688
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2008,2149
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2010,1580
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2012,1600
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2014,2379
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2016,3039
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2018,3576
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Iceland,2020,2782
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2004,2317
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2006,2538
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2008,2930
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2010,2532
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2012,2443
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2014,2451
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2016,2542
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2018,2687
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2020,2775
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Italy,2022,3041
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2008,10603
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2010,8434
